wall_time_iso,index,utilization.gpu [%],utilization.memory [%],memory.used [MiB],power.draw [W],clocks.current.graphics [MHz],temperature.gpu
2026/05/19 18:01:36.871, 1, 6, 0, 3684, 56.65, 2565, 48
2026/05/19 18:01:37.100, 0, 1, 0, 1705, 60.58, 2565, 38
2026/05/19 18:01:37.103, 1, 6, 0, 3684, 56.65, 2565, 48
2026/05/19 18:01:37.336, 0, 1, 0, 1705, 60.58, 2565, 38
2026/05/19 18:01:37.339, 1, 37, 16, 3684, 56.70, 1185, 48
2026/05/19 18:01:37.566, 0, 1, 0, 1705, 61.42, 2565, 38
2026/05/19 18:01:37.569, 1, 37, 16, 3667, 56.70, 1185, 48
2026/05/19 18:01:37.798, 0, 1, 0, 1705, 61.42, 2565, 38
2026/05/19 18:01:37.801, 1, 37, 16, 3668, 44.74, 1170, 47
2026/05/19 18:01:38.031, 0, 2, 0, 1769, 63.10, 2565, 38
2026/05/19 18:01:38.034, 1, 37, 16, 3754, 44.74, 1170, 47
2026/05/19 18:01:38.264, 0, 2, 0, 1923, 63.10, 2565, 38
2026/05/19 18:01:38.267, 1, 11, 1, 3754, 34.37, 2565, 47
2026/05/19 18:01:38.496, 0, 2, 0, 1963, 81.36, 2565, 41
2026/05/19 18:01:38.499, 1, 11, 1, 3747, 34.37, 2565, 47
2026/05/19 18:01:38.727, 0, 2, 0, 2003, 81.36, 2565, 41
2026/05/19 18:01:38.730, 1, 11, 1, 3747, 46.26, 2565, 48
2026/05/19 18:01:38.959, 0, 42, 11, 2081, 118.15, 2685, 44
2026/05/19 18:01:38.963, 1, 11, 1, 3747, 46.26, 2565, 48
2026/05/19 18:01:39.199, 0, 42, 11, 2159, 118.15, 2685, 44
2026/05/19 18:01:39.202, 1, 6, 0, 3747, 57.05, 2565, 48
2026/05/19 18:01:39.430, 0, 42, 11, 2235, 145.11, 2670, 44
2026/05/19 18:01:39.433, 1, 6, 0, 3747, 57.05, 2565, 48
2026/05/19 18:01:39.660, 0, 42, 11, 2313, 145.11, 2670, 44
2026/05/19 18:01:39.663, 1, 6, 0, 3747, 56.11, 2565, 48
2026/05/19 18:01:39.891, 0, 42, 8, 2355, 152.60, 2685, 45
2026/05/19 18:01:39.894, 1, 6, 0, 3747, 56.11, 2565, 48
2026/05/19 18:01:40.157, 0, 42, 8, 2433, 152.60, 2685, 45
2026/05/19 18:01:40.160, 1, 12, 6, 8121, 57.68, 2565, 52
2026/05/19 18:01:40.391, 0, 42, 8, 2509, 150.09, 2685, 44
2026/05/19 18:01:40.394, 1, 12, 6, 9423, 57.68, 2565, 52
2026/05/19 18:01:40.621, 0, 42, 8, 2587, 150.09, 2685, 44
2026/05/19 18:01:40.625, 1, 12, 6, 9439, 57.68, 2565, 52
2026/05/19 18:01:40.854, 0, 42, 11, 2627, 147.84, 2685, 44
2026/05/19 18:01:40.857, 1, 12, 6, 9461, 87.37, 2685, 49
2026/05/19 18:01:41.084, 0, 42, 11, 2705, 147.84, 2685, 44
2026/05/19 18:01:41.087, 1, 12, 6, 9485, 87.37, 2685, 49
2026/05/19 18:01:41.321, 0, 42, 11, 2781, 147.84, 2685, 44
2026/05/19 18:01:41.325, 1, 10, 1, 9431, 93.49, 2685, 49
2026/05/19 18:01:41.552, 0, 42, 11, 2823, 148.43, 2670, 43
2026/05/19 18:01:41.555, 1, 10, 1, 9431, 93.49, 2685, 49
2026/05/19 18:01:41.782, 0, 42, 11, 2901, 148.43, 2670, 43
2026/05/19 18:01:41.785, 1, 10, 1, 9432, 69.70, 2685, 49
2026/05/19 18:01:42.012, 0, 45, 12, 2977, 151.69, 2670, 44
2026/05/19 18:01:42.016, 1, 10, 1, 9496, 69.70, 2685, 49
2026/05/19 18:01:42.243, 0, 45, 12, 3055, 151.69, 2670, 44
2026/05/19 18:01:42.247, 1, 7, 0, 9496, 68.84, 2565, 49
2026/05/19 18:01:42.476, 0, 45, 12, 3055, 152.16, 2670, 44
2026/05/19 18:01:42.479, 1, 7, 0, 9496, 68.84, 2565, 49
2026/05/19 18:01:42.707, 0, 45, 12, 3057, 152.16, 2670, 44
2026/05/19 18:01:42.710, 1, 7, 0, 9496, 63.59, 2565, 49
2026/05/19 18:01:42.940, 0, 45, 12, 3057, 151.74, 2670, 45
2026/05/19 18:01:42.942, 1, 7, 0, 14080, 63.59, 2565, 49
2026/05/19 18:01:43.174, 0, 45, 12, 3057, 151.74, 2670, 45
2026/05/19 18:01:43.177, 1, 100, 63, 14814, 150.74, 2640, 66
2026/05/19 18:01:43.407, 0, 45, 12, 3057, 152.32, 2670, 45
2026/05/19 18:01:43.414, 1, 100, 63, 14814, 150.74, 2640, 66
2026/05/19 18:01:43.644, 0, 45, 12, 3057, 152.32, 2670, 45
2026/05/19 18:01:43.648, 1, 100, 63, 14799, 316.39, 2655, 66
2026/05/19 18:01:43.878, 0, 41, 8, 3057, 151.82, 2670, 45
2026/05/19 18:01:43.881, 1, 100, 63, 14799, 316.39, 2655, 66
2026/05/19 18:01:44.113, 0, 41, 8, 3057, 151.82, 2670, 45
