timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB], temperature.gpu
2026/05/10 16:33:28.358, 0 %, 0 %, 8.65 W, 1832 MiB, 48
2026/05/10 16:33:28.561, 0 %, 0 %, 8.95 W, 1832 MiB, 48
2026/05/10 16:33:28.765, 0 %, 0 %, 18.07 W, 1832 MiB, 48
2026/05/10 16:33:28.970, 84 %, 7 %, 25.30 W, 2584 MiB, 48
2026/05/10 16:33:29.171, 40 %, 3 %, 28.38 W, 3614 MiB, 48
2026/05/10 16:33:29.374, 82 %, 11 %, 37.59 W, 4774 MiB, 48
2026/05/10 16:33:29.576, 38 %, 4 %, 159.50 W, 5596 MiB, 49
2026/05/10 16:33:29.778, 58 %, 19 %, 110.17 W, 5596 MiB, 49
2026/05/10 16:33:29.979, 0 %, 0 %, 24.97 W, 1750 MiB, 49
2026/05/10 16:33:30.181, 9 %, 3 %, 84.13 W, 1978 MiB, 50
2026/05/10 16:33:30.383, 0 %, 0 %, 24.33 W, 1978 MiB, 50
2026/05/10 16:33:30.587, 0 %, 0 %, 24.15 W, 1978 MiB, 50
2026/05/10 16:33:30.788, 0 %, 0 %, 24.44 W, 1978 MiB, 50
2026/05/10 16:33:30.990, 0 %, 0 %, 24.52 W, 1978 MiB, 50
2026/05/10 16:33:31.192, 0 %, 0 %, 18.99 W, 1978 MiB, 50
2026/05/10 16:33:31.393, 0 %, 0 %, 18.29 W, 1978 MiB, 49
2026/05/10 16:33:31.596, 0 %, 0 %, 17.16 W, 1978 MiB, 49
2026/05/10 16:33:31.802, 0 %, 0 %, 17.87 W, 1978 MiB, 48
2026/05/10 16:33:32.005, 0 %, 0 %, 17.45 W, 1978 MiB, 48
2026/05/10 16:33:32.210, 0 %, 0 %, 17.16 W, 1978 MiB, 48
2026/05/10 16:33:32.414, 0 %, 0 %, 17.38 W, 1978 MiB, 48
2026/05/10 16:33:32.616, 0 %, 0 %, 17.38 W, 1978 MiB, 48
2026/05/10 16:33:32.825, 0 %, 0 %, 17.43 W, 1978 MiB, 48
2026/05/10 16:33:33.027, 0 %, 0 %, 16.68 W, 1978 MiB, 48
2026/05/10 16:33:33.240, 0 %, 0 %, 17.26 W, 1978 MiB, 48
2026/05/10 16:33:33.442, 0 %, 0 %, 17.26 W, 1978 MiB, 48
2026/05/10 16:33:33.645, 0 %, 0 %, 17.22 W, 1978 MiB, 48
2026/05/10 16:33:33.846, 0 %, 0 %, 17.22 W, 1978 MiB, 48
2026/05/10 16:33:34.048, 0 %, 0 %, 17.22 W, 1978 MiB, 48
2026/05/10 16:33:34.250, 0 %, 0 %, 17.22 W, 1978 MiB, 48
2026/05/10 16:33:34.451, 0 %, 0 %, 17.22 W, 1978 MiB, 48
2026/05/10 16:33:34.653, 0 %, 0 %, 16.71 W, 1978 MiB, 48
2026/05/10 16:33:34.855, 0 %, 0 %, 16.16 W, 1978 MiB, 48
2026/05/10 16:33:35.057, 0 %, 0 %, 16.03 W, 1978 MiB, 48
2026/05/10 16:33:35.259, 0 %, 0 %, 16.37 W, 1978 MiB, 48
2026/05/10 16:33:35.461, 0 %, 0 %, 16.30 W, 1978 MiB, 48
2026/05/10 16:33:35.663, 0 %, 0 %, 16.25 W, 1978 MiB, 48
2026/05/10 16:33:35.865, 0 %, 0 %, 16.25 W, 1978 MiB, 48
2026/05/10 16:33:36.067, 0 %, 0 %, 16.25 W, 1978 MiB, 48
2026/05/10 16:33:36.269, 0 %, 0 %, 16.25 W, 1978 MiB, 48
2026/05/10 16:33:36.471, 0 %, 0 %, 9.41 W, 1978 MiB, 48
